Actor,Rating
Wynn Everett,2.3179680150517403
Pat Shortt,2.3248667293822516
Norman Reedus,2.0589526497334587
Janice Blue,2.7742238946378177
Mark Metcalf,2.1321208320267586
Harry Dean Stanton,1.9757499738685063
Amali Golden,2.4934671265809554
Naomie Harris,2.112992578655796
Nick Jonas,2.2196090728546043
Hannah John-Kamen,2.3439949827532143
Max von Sydow,2.01839657154803
Ray Park,2.179889202466813
Emmanuelle Chriqui,2.0736908121668236
Rob Brydon,2.225462527438068
Michael Gough,2.0681509355074734
Margaret Qualley,2.1795756245426987
Stanley Kamel,2.2941360928190657
Shirley Jones,2.2815929758544997
Imogen Stubbs,2.4712030939688514
Mark Webber,2.0645970523675135
Mark Valley,2.185429079126163
Brent Spiner,2.093550747360719
Jordi Molla,2.0827845719661338
Sergio Peris-Mencheta,2.3874777882303753
Alison Eastwood,2.185115501202049
Adam Goldberg,2.0490226821365107
Kirsty Mitchell,2.3191178007734923
Elizabeth Tulloch,2.2301661962997805
Sophie Skelton,2.83192223267482
Ian Kahn,2.470994042019442
Jamie Farr,2.286296644716212
Dominic Sherwood,2.576251698547089
Jane Greer,2.349534859412564
Joanna Barnes,2.5342322567157938
Robert Hardy,2.2228493780704506
Michiel Huisman,2.2593289432423957
Denis Leary,2.026654123549702
Ben Geurens,3.1055712344517614
Jack Falahee,2.3216264241664053
Jessica Madsen,2.8401797846764922
Alicia Leigh Willis,2.3041705863907183
Jensen Ackles,2.716002926727292
Laraine Newman,2.012438590989861
Margaret Whitton,2.264764293927041
Atticus Shaffer,2.304275112365423
Brett Goldstein,2.3693947946064595
Ilana Glazer,2.5457301139333124
Owen Teague,2.2967492421866833
Shannon Tweed,2.2083202675864952
Lois Smith,2.036165987247831
Daniel Craig,2.0663739939374937
Jimmy Fallon,2.116650987770461
Rachel G. Fox,2.4796696979199333
Pamela Hensley,2.5629768997595903
Ella Hunt,2.431065119682241
Jane Lynch,2.0053308247099406
Shondrella Avery,2.293927040869656
Eleanor Bron,2.2532664367095223
