Actor,Film,Year,Votes,Rating
Fred Astaire,Ghost Story,1981,7731,6.3
Fred Astaire,The Purple Taxi,1977,533,6.6
Fred Astaire,The Amazing Dobermans,1976,369,5.3
Fred Astaire,The Towering Inferno,1974,39888,7
Fred Astaire,Midas Run,1969,123,4.8
Fred Astaire,Finian's Rainbow,1968,3377,6.2
Fred Astaire,The Notorious Landlady,1962,1887,6.8
Fred Astaire,The Pleasure of His Company,1961,679,6.9
Fred Astaire,On the Beach,1959,12066,7.2
Fred Astaire,Funny Face,1957,27534,7
Fred Astaire,Silk Stockings,1957,3548,6.9
Fred Astaire,Daddy Long Legs,1955,3507,6.7
Fred Astaire,The Band Wagon,1953,10227,7.5
Fred Astaire,The Belle of New York,1952,844,6.2
Fred Astaire,Royal Wedding,1951,4879,6.7
Fred Astaire,Three Little Words,1950,1600,7
Fred Astaire,Let's Dance,1950,453,6.2
Fred Astaire,The Barkleys of Broadway,1949,2780,7
Fred Astaire,Easter Parade,1948,8848,7.4
Fred Astaire,Blue Skies,1946,1265,6.4
Fred Astaire,Ziegfeld Follies,1945,2908,6.5
Fred Astaire,Yolanda and the Thief,1945,897,6
Fred Astaire,The Sky's the Limit,1943,847,6.4
Fred Astaire,Holiday Inn,1942,13636,7.4
Fred Astaire,You Were Never Lovelier,1942,3321,7.2
Fred Astaire,You'll Never Get Rich,1941,2253,6.8
Fred Astaire,Broadway Melody of 1940,1940,2146,7.4
Fred Astaire,Second Chorus,1940,1377,5.8
Fred Astaire,The Story of Vernon and Irene Castle,1939,2316,6.9
Fred Astaire,Carefree,1938,3455,7
Fred Astaire,Shall We Dance,1937,6603,7.5
Fred Astaire,A Damsel in Distress,1937,1801,6.8
Fred Astaire,Swing Time,1936,12475,7.5
Fred Astaire,Follow the Fleet,1936,3978,7.2
Fred Astaire,Top Hat,1935,17641,7.7
Fred Astaire,Roberta,1935,2948,7.1
Fred Astaire,The Gay Divorcee,1934,7101,7.5
Fred Astaire,Flying Down to Rio,1933,3379,6.6
